month,region,revenue,orders,cost,quality,speed,satisfaction,min,q1,median,q3,max
2026-01,华北,120,32,70,78,72,80,45,68,90,112,136
2026-01,华东,150,38,84,82,79,86,52,74,102,126,148
2026-01,华南,110,30,66,76,74,79,40,63,82,104,126
2026-02,华北,132,35,75,80,73,82,50,72,95,118,142
2026-02,华东,162,41,90,84,81,88,58,80,108,132,156
2026-02,华南,122,33,72,78,76,81,46,67,88,110,132
2026-03,华北,141,37,81,81,75,83,54,76,101,124,149
2026-03,华东,176,44,96,86,83,90,62,84,114,138,164
2026-03,华南,128,35,74,79,77,83,49,70,92,116,138
2026-04,华北,149,39,86,82,76,84,57,79,104,129,154
2026-04,华东,188,47,102,87,84,91,66,88,120,145,170
2026-04,华南,136,36,78,80,78,84,52,73,96,121,144
2026-05,华北,158,42,90,83,78,85,60,82,109,134,160
2026-05,华东,201,50,109,88,85,92,71,93,126,151,178
2026-05,华南,142,38,82,81,79,85,55,77,100,126,150
2026-06,华北,166,44,95,84,79,86,64,86,114,140,166
2026-06,华东,214,53,116,89,86,93,76,98,132,158,186
2026-06,华南,149,40,86,82,80,86,58,81,106,132,156
