month,region,revenue,orders
2026-01,East,118,28
2026-02,East,132,31
2026-03,East,145,34
2026-04,East,138,32
2026-05,East,156,36
2026-06,East,162,38
2026-07,East,149,35
2026-08,East,171,40
2026-09,East,165,39
2026-10,East,178,42
2026-11,East,184,44
2026-12,East,192,46
2026-01,West,92,22
2026-02,West,98,24
2026-03,West,105,25
2026-04,West,101,23
2026-05,West,112,27
2026-06,West,118,28
2026-07,West,109,26
2026-08,West,124,30
2026-09,West,121,29
2026-10,West,128,31
2026-11,West,135,33
2026-12,West,141,35
2026-01,North,86,20
2026-02,North,91,21
2026-03,North,97,23
2026-04,North,94,22
2026-05,North,103,24
2026-06,North,108,26
2026-07,North,101,24
2026-08,North,115,27
2026-09,North,112,26
2026-10,North,119,28
2026-11,North,126,29
2026-12,North,133,31
2026-01,South,104,26
2026-02,South,110,27
2026-03,South,118,29
2026-04,South,114,28
2026-05,South,125,30
2026-06,South,131,32
2026-07,South,122,30
2026-08,South,138,34
2026-09,South,134,33
2026-10,South,142,35
2026-11,South,149,37
2026-12,South,156,39
