category,value
Inspection,42
Inspection,45
Inspection,48
Inspection,50
Inspection,52
Inspection,55
Inspection,58
Inspection,60
Inspection,62
Inspection,65
Inspection,68
Inspection,70
Inspection,72
Inspection,75
Inspection,78
Permit,28
Permit,30
Permit,32
Permit,34
Permit,36
Permit,38
Permit,40
Permit,42
Permit,44
Permit,46
Permit,48
Permit,50
Permit,52
Permit,54
Permit,56
Safety,55
Safety,58
Safety,60
Safety,62
Safety,64
Safety,66
Safety,68
Safety,70
Safety,72
Safety,74
Safety,76
Safety,78
Safety,80
Safety,82
Safety,85
Logistics,35
Logistics,37
Logistics,39
Logistics,41
Logistics,43
Logistics,45
Logistics,47
Logistics,49
Logistics,51
Logistics,53
Logistics,55
Logistics,57
Logistics,59
Logistics,61
Logistics,63
Support,48
Support,50
Support,52
Support,54
Support,56
Support,58
Support,60
Support,62
Support,64
Support,66
Support,68
Support,70
Support,72
Support,74
Support,76
